date,Voltage,ChargeCapacity
6/21/2018 20:21,3.576401711,0
6/21/2018 20:23,3.575814247,0
6/21/2018 20:25,3.575202942,0
6/21/2018 20:27,3.574509621,0
6/21/2018 20:29,3.573856354,0
6/21/2018 20:31,3.573313713,0
6/21/2018 20:33,3.572934151,0
6/21/2018 20:35,3.572692871,0
6/21/2018 20:37,3.572960854,0
6/21/2018 20:39,3.573086739,0
6/21/2018 20:41,3.57324028,0
6/21/2018 20:43,3.573255539,0
6/21/2018 20:45,3.573324203,0
6/21/2018 20:47,3.573371887,0
6/21/2018 20:49,3.573371887,0
6/21/2018 20:51,3.573461533,0
6/21/2018 20:53,3.573532104,0
6/21/2018 20:55,3.573531151,0
6/21/2018 20:57,3.573595047,0
6/21/2018 20:59,3.573651314,0
6/21/2018 21:01,3.573672295,0
6/21/2018 21:03,3.573803902,0
6/21/2018 21:05,3.573799133,0
6/21/2018 21:07,3.573843002,0
6/21/2018 21:09,3.573838234,0
6/21/2018 21:11,3.573967934,0
6/21/2018 21:13,3.574004173,0
6/21/2018 21:15,3.574057579,0
6/21/2018 21:17,3.574101448,0
6/21/2018 21:19,3.574062347,0
6/21/2018 21:21,3.574158669,0
6/21/2018 21:23,3.574180603,0
6/21/2018 21:25,3.57419014,0
6/21/2018 21:27,3.574309349,0
6/21/2018 21:29,3.574275017,0
6/21/2018 21:31,3.574356079,0
6/21/2018 21:33,3.574355125,0
6/21/2018 21:35,3.574383736,0
6/21/2018 21:37,3.574477196,0
6/21/2018 21:39,3.574483871,0
6/21/2018 21:41,3.574542999,0
6/21/2018 21:43,3.574604034,0
6/21/2018 21:45,3.574647903,0
6/21/2018 21:47,3.574762344,0
6/21/2018 21:49,3.574759483,0
6/21/2018 21:51,3.574892044,0
6/21/2018 21:53,3.574923515,0
6/21/2018 21:55,3.574973106,0
6/21/2018 21:57,3.574964523,0
6/21/2018 21:59,3.575056076,0
6/21/2018 22:01,3.57508564,0
6/21/2018 22:03,3.575172424,0
6/21/2018 22:05,3.57515049,0
6/21/2018 22:07,3.57526207,0
6/21/2018 22:09,3.575316429,0
6/21/2018 22:11,3.575325012,0
6/21/2018 22:13,3.575379372,0
6/21/2018 22:15,3.575479507,0
6/21/2018 22:17,3.575564384,0
6/21/2018 22:19,3.575551987,0
6/21/2018 22:21,4.200017929,0.058057077
6/21/2018 22:23,4.258426666,0.166466847
6/21/2018 22:25,4.280506134,0.275127351
6/21/2018 22:27,4.307832718,0.383792371
6/21/2018 22:29,4.333396912,0.492451549
6/21/2018 22:31,4.358968735,0.601111829
6/21/2018 22:33,4.385650635,0.70978415
6/21/2018 22:35,4.399989128,0.817501247
6/21/2018 22:37,4.399990082,0.918630302
6/21/2018 22:39,4.400043488,1.012471199
6/21/2018 22:41,4.400015831,1.099671602
6/21/2018 22:43,4.400005341,1.181185961
6/21/2018 22:45,4.399960518,1.257762074
6/21/2018 22:47,4.399982452,1.329988122
6/21/2018 22:49,4.399973869,1.398322105
6/21/2018 22:51,4.39999485,1.463171363
6/21/2018 22:53,4.399983406,1.524974346
6/21/2018 22:55,4.400025368,1.583927631
6/21/2018 22:57,4.399986267,1.640320897
6/21/2018 22:59,4.400005341,1.694313526
6/21/2018 23:01,4.399964333,1.746091127
6/21/2018 23:03,4.399972916,1.795783162
6/21/2018 23:05,4.400054932,1.843485117
6/21/2018 23:07,4.39999485,1.889330149
6/21/2018 23:09,4.39999485,1.933409452
6/21/2018 23:11,4.399970055,1.975791454
6/21/2018 23:13,4.399980545,2.016571045
6/21/2018 23:15,4.399920464,2.055797815
6/21/2018 23:17,4.399973869,2.093539238
6/21/2018 23:19,4.39999485,2.12985754
6/21/2018 23:21,4.400033951,2.164781094
6/21/2018 23:23,4.400015831,2.198388577
6/21/2018 23:25,4.400001526,2.230736971
6/21/2018 23:27,4.400046349,2.261851788
6/21/2018 23:29,4.399953842,2.291781425
